Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.1194240754379788,0.1630955445877053,0.1285978671651523,0.1356819354803028,0.142961474826462,0
0.079702154554227,0.1027200205875247,0.0734373002375067,0.0777846294182067,0.068572489072469,0
0.0734967349783218,0.0712835797710594,0.0566522975380275,0.0449877143562324,0.0672305356548974,0
0.0255668825893536,0.062306716036897,0.0426140709009762,0.03515463251179,0.0288736007231337,0
0.0354916445714832,0.039778457366779,0.0344651947375722,0.0307250448388465,0.0367635483524869,0
0.019547619358354,0.0137513502315879,0.028859878096854,0.0315528527761243,0.0317919654135664,0
0.0135938437947544,0.013509877527525,0.0121895491155982,0.0075162841594201,0.0097951361018299,0
0.024433806021606,-0.000254441861976,1.1256721331116823e-05,0.0047271716072423,0.0071733123218424,2
0.000711444318171,0.0066356040722971,0.0094553518543907,0.0088297566223289,0.0068685807614431,0
0.0064031335927383,0.0043152978038782,0.0026367351993602,0.0035757201346143,0.0051520402243372,0
0.0019289329604738,0.0006901084369013,0.0018883407128259,0.0060474593527946,-0.0003748342033272,2
0.0027414203701802,0.0024276575587478,0.0014833727395373,-0.0015569510618893,0.0015500092905775,1
-0.0002693919877928,0.001717194387221,0.0014154504977263,0.0020804795385144,-0.0005746963349522,2
-0.0006012099142988,0.0004500845029355,-0.0011588645561375,0.0003262340811622,0.004987879321509,3
-0.0016815170933163,0.0012015018825658,-0.0009432579714505,-0.0016226056521363,0.0048636256992651,4
-0.0004503811962826,0.0013251919405095,0.0003160562179053,-0.0007535997836371,0.0009784729412427,5
0.0001638259445755,0.0003122120547955,2.125830775136228e-05,0.0001843638297484,-0.0003248172137888,3
