name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,logloss,0.06319665044429847,41.63
2_Default_Xgboost,Xgboost,logloss,0.048414680342020656,11.17
3_Default_CatBoost,CatBoost,logloss,0.05128972311292526,41.38
4_Default_NeuralNetwork,Neural Network,logloss,0.07136688319265724,15.41
5_Default_RandomForest,Random Forest,logloss,0.08046276037564809,14.64
6_Default_ExtraTrees,Extra Trees,logloss,0.10025570350852593,11.11
16_LightGBM,LightGBM,logloss,0.06803344820699443,16.18
7_Xgboost,Xgboost,logloss,0.05414445040232244,14.88
25_CatBoost,CatBoost,logloss,0.05196205550722262,33.9
34_RandomForest,Random Forest,logloss,0.06064533695276111,18.55
43_ExtraTrees,Extra Trees,logloss,0.08262154046512611,16.06
52_NeuralNetwork,Neural Network,logloss,0.07461187753031867,14.69
17_LightGBM,LightGBM,logloss,0.06751812122820175,8.07
8_Xgboost,Xgboost,logloss,0.09543582661369703,14.74
26_CatBoost,CatBoost,logloss,0.0513432704996472,32.72
35_RandomForest,Random Forest,logloss,0.07716084630226826,16.4
44_ExtraTrees,Extra Trees,logloss,0.10947950579137837,14.99
53_NeuralNetwork,Neural Network,logloss,0.07318845089799059,17.31
18_LightGBM,LightGBM,logloss,0.05372482711563032,13.88
9_Xgboost,Xgboost,logloss,0.056751106446566155,24.09
27_CatBoost,CatBoost,logloss,0.05058475621768107,45.89
36_RandomForest,Random Forest,logloss,0.10833320335846125,23.21
45_ExtraTrees,Extra Trees,logloss,0.11804903151434462,15.51
54_NeuralNetwork,Neural Network,logloss,0.06058754828415172,15.71
19_LightGBM,LightGBM,logloss,0.06255397503679849,23.29
10_Xgboost,Xgboost,logloss,0.05962125169809272,16.79
28_CatBoost,CatBoost,logloss,0.05078122800706677,47.15
37_RandomForest,Random Forest,logloss,0.07989357204982646,16.03
46_ExtraTrees,Extra Trees,logloss,0.10968213941051556,15.76
55_NeuralNetwork,Neural Network,logloss,0.06561750648892206,16.79
20_LightGBM,LightGBM,logloss,0.08764459574555647,10.51
11_Xgboost,Xgboost,logloss,0.1316594078185505,25.89
29_CatBoost,CatBoost,logloss,0.05108227801493843,48.88
38_RandomForest,Random Forest,logloss,0.09999934171549481,17.77
47_ExtraTrees,Extra Trees,logloss,0.12296847033873994,19.84
56_NeuralNetwork,Neural Network,logloss,0.07005809772472109,14.35
21_LightGBM,LightGBM,logloss,0.06131446523028484,12.5
12_Xgboost,Xgboost,logloss,0.05478416230344442,15.71
30_CatBoost,CatBoost,logloss,0.051425925373591794,31.93
39_RandomForest,Random Forest,logloss,0.05986926717348293,20.21
48_ExtraTrees,Extra Trees,logloss,0.09009597249682261,22.85
57_NeuralNetwork,Neural Network,logloss,0.059802088181319234,17.62
22_LightGBM,LightGBM,logloss,0.047753797945544775,18.42
13_Xgboost,Xgboost,logloss,0.08228736006172031,15.93
31_CatBoost,CatBoost,logloss,0.0502475613055982,50.46
40_RandomForest,Random Forest,logloss,0.061789348248783356,20.39
49_ExtraTrees,Extra Trees,logloss,0.0895803313564438,16.85
58_NeuralNetwork,Neural Network,logloss,0.06247134661625934,14.71
23_LightGBM,LightGBM,logloss,0.06064262146190958,13.61
14_Xgboost,Xgboost,logloss,0.06223555752164178,19.49
32_CatBoost,CatBoost,logloss,0.051068563257884246,36.87
41_RandomForest,Random Forest,logloss,0.08080770418773943,15.94
50_ExtraTrees,Extra Trees,logloss,0.11440249689001357,12.4
59_NeuralNetwork,Neural Network,logloss,0.07277859076543117,17.83
24_LightGBM,LightGBM,logloss,0.13284890484197315,9.18
15_Xgboost,Xgboost,logloss,0.06015250595758712,26.8
33_CatBoost,CatBoost,logloss,0.0509305162117113,46.47
42_RandomForest,Random Forest,logloss,0.06866926971855573,23.55
51_ExtraTrees,Extra Trees,logloss,0.10536877106613522,16.27
60_NeuralNetwork,Neural Network,logloss,0.07454224346105423,16.17
2_Default_Xgboost_categorical_mix,Xgboost,logloss,0.04766782850280785,22.22
2_Default_Xgboost_categorical_mix_GoldenFeatures,Xgboost,logloss,0.04509337330674511,29.45
22_LightGBM_GoldenFeatures,LightGBM,logloss,0.04688150691604328,35.02
2_Default_Xgboost_GoldenFeatures,Xgboost,logloss,0.04507600186501716,21.7
2_Default_Xgboost_categorical_mix_KMeansFeatures,Xgboost,logloss,0.04878748757069338,27.08
22_LightGBM_KMeansFeatures,LightGBM,logloss,0.05407841384164644,24.63
2_Default_Xgboost_KMeansFeatures,Xgboost,logloss,0.049375325874170345,19.69
2_Default_Xgboost_GoldenFeatures_RandomFeature,Xgboost,logloss,0.04488817404596327,22.08
2_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.04364633794666621,19.56
22_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,logloss,0.047181692762163,29.83
31_CatBoost_SelectedFeatures,CatBoost,logloss,0.0502475613055982,51.51
57_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.059802088181319234,18.97
39_RandomForest_SelectedFeatures,Random Forest,logloss,0.05986926717348293,21.96
43_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.08262154046512611,19.79
61_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.044268557996855036,24.32
62_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.04492780706041465,16.87
63_Xgboost_GoldenFeatures,Xgboost,logloss,0.04530318534778514,28.21
64_Xgboost_GoldenFeatures,Xgboost,logloss,0.045571552639512077,19.85
65_Xgboost_GoldenFeatures,Xgboost,logloss,0.04431249113835452,39.35
66_Xgboost_GoldenFeatures,Xgboost,logloss,0.0456590539769458,27.45
67_LightGBM_GoldenFeatures,LightGBM,logloss,0.046881760422357296,32.46
68_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,logloss,0.04718015576156882,29.58
69_LightGBM,LightGBM,logloss,0.047760218325810025,19.89
70_CatBoost,CatBoost,logloss,0.051141414898083964,46.94
71_CatBoost,CatBoost,logloss,0.05052097203126823,53.23
72_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.04475498037112985,21.3
73_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.044513075155500695,25.1
74_Xgboost_GoldenFeatures,Xgboost,logloss,0.044567912532264345,39.49
75_LightGBM_GoldenFeatures,LightGBM,logloss,0.04688150691604328,33.93
76_LightGBM_GoldenFeatures,LightGBM,logloss,0.046881760422357296,33.96
77_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,logloss,0.04718015576156882,28.4
78_CatBoost_SelectedFeatures,CatBoost,logloss,0.05009256429803869,39.4
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors,Xgboost,logloss,0.04345708677700217,21.88
Ensemble,Ensemble,logloss,0.03901479550159902,64.86
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_Stacked,Xgboost,logloss,0.03969761723473459,418.41
Ensemble_Stacked,Ensemble,logloss,0.0368944435674905,68.76
